"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Mata Atlântica  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"3.2. Agricultura";0.00012903750302008317;8.117272547607119e-05;5.951985708744269e-05;0.0;0.01936920617642262;0.07284412429003703;0.0;0.00010711333930159209;0.0;0.09259017389134484;0.09259017389134484;-0.0007716947760689659;0.7867370934578874;0.02634525488195852;0.21326290654211255;0.0007716947760689485
"3.3 Mosaico de Agricultura ou Pastagem";0.017737702899120914;0.0016113683999905422;0.001241918399407364;0.002319765403881568;0.0;0.0;0.10358208333671433;0.003172016770922327;0.0004534632116891221;0.13011831842172616;0.13011831842172616;-0.026536235085011822;0.7960607283671974;0.021648864551653036;0.20393927163280257;0.026536235085011836
"4.1. Infraestrutura Urbana";1.8340925191795308e-05;0.0;0.0;7.966100347566925e-05;0.0002875957162236123;4.3298805135536215e-05;0.0;0.012400996610363117;0.0;0.01282989306038973;0.01282989306038973;0.0048224463755526204;0.9665705358565488;0.05485267859863195;0.03342946414345116;0.004822446375552621
"5.1. Rio, Lago e Oceano";0.0002054879166314187;0.0;3.712045295450821e-05;5.826480301393933e-05;6.89537318476497e-05;0.0;0.0;0.0;0.014618595195041184;0.0149884220994887;0.0149884220994887;0.0003577685040726137;0.9753258280296142;0.059048207615926614;0.024674171970385794;0.0003577685040726149
"total";0.28170257916918195;0.01737040041438693;0.006360069816597337;0.00622585938119988;0.4599419987271429;0.0918184791152759;0.10358208333671433;0.01765233943594235;0.015346190603561315;0.9999999999999999;0.9999999999999999;0;0.8522804654125965;0.01752195612538655;0.1477195345874035;0.06266705088154606
"adj population";0.28170257916918445;0.01737040041438692;0.006360069816597338;0.006225859381199881;0.45994199872713804;0.09181847911527576;0.10358208333671388;0.017652339435942344;0.015346190603561297;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.249301079784161e-17;2.0689853626173804e-16;2.9843157889090886e-16;2.954884583963056e-16;5.585508002329767e-17;9.535321109873676e-17;8.955808027281672e-17;2.1686325412480652e-16;2.4141934526358166e-16;1.5623605551300336e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8992481432214132;0.5925949573570112;0.2941887219652103;0.15890314774966433;0.8313225681131834;0.7933492799263532;1.0;0.7025129250071609;0.9525878814282887;0.8522804654125962;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.015876881412818917;0.030307586045557496;0.03247414178667727;0.01626116474441184;0.011646325506055988;0.026475557772224243;0.02824925268799361;0.03663281225574735;0.057308111532576575;0.017546603047154608;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.984123118587181;0.9696924139544425;0.9675258582133227;0.9837388352555881;0.9883536744939441;0.9735244422277758;0.9717507473120064;0.9633671877442527;0.9426918884674235;0.14771953458740383;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.05676411582122454;0.0044763875444131;0.008978018011286115;0.0012902387825396056;0.059050050892830774;0.037948709650477724;0.0;0.000857792900053226;0.0007396538088950307;0.08505248370586006;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1989 "
