"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Pampa  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;0.0;0.0;0.004913516576663463;0.0;0.004913516576663463;0.004913516576663463;0.0008958376844437347;1.0;0.1709206191765246;0.0;0.0008958376844437344
"5.1. Rio, Lago e Oceano";0.0;0.0;0.0;0.001736948002939724;0.0003257440240721969;0.0;0.018860899790614935;0.020923591817626857;0.020923591817626857;-0.002062692027011921;0.9014178805918864;0.11784513820770175;0.09858211940811357;0.002062692027011922
"total";0.07072483136131734;0.011524703299310731;0.009358937967043903;0.6677353394058273;0.2159859339147782;0.005809354261107198;0.018860899790614935;1.0000000000000002;1.0000000000000002;0;0.8123413644596318;0.03112882876700112;0.1876586355403682;0.11780161882433592
"adj population";0.07072483136131734;0.011524703299310733;0.009358937967043903;0.6677353394058279;0.21598593391477827;0.0058093542611071984;0.018860899790614935;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.130008113464236e-15;2.398449709253339e-15;2.588080702470683e-15;5.817731347190793e-16;6.525349994063632e-16;3.649381094408269e-15;2.119401773383816e-15;1.3119629527105787e-14;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8833150012122317;0.3431702087589552;0.5928687851949628;0.7871585106758581;0.884212818022563;0.8457939309294251;1.0;0.8123413644596318;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.06412608480353478;0.08789158290253166;0.12604899220020718;0.017058830403992063;0.04227633946881419;0.13426957652290766;0.13395399979068617;0.030556306723320836;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9358739151964652;0.9121084170974684;0.8739510077997928;0.982941169596008;0.9577236605311858;0.8657304234770924;0.8660460002093138;0.1876586355403682;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.01650505372332084;0.0019130489708962493;0.007620631567615138;0.06365849390071787;0.05001680526951424;0.0;0.0;0.06985701671603217;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1989 "
" ";"1.1.1. Formação Florestal";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.06349230347570847;0.008493092242382322;0.0;0.01535101692037014;0.0036437978942723474;0.0;0.0;0.09098021053273327;0.09098021053273327;-0.020746584078745724;0.6978693839454779;0.04852660676409378;0.30213061605452207;0.020746584078745703
"1.2. Floresta Plantada";0.0009561940325542111;0.004502821923115337;0.0;0.0;0.0;0.0;0.0;0.005459015955669548;0.005459015955669548;0.008808683175376135;0.824841319329514;0.2278240254869808;0.175158680670486;0.008808683175376131
"2.1. Área Úmida Natural não Florestal";0.00021562272243643422;0.0;0.00459068046566392;0.005405291621646611;0.0;0.0;0.0;0.010211594809746965;0.010211594809746965;-0.0008558900982884874;0.4495556816729661;0.08595198628468328;0.5504443183270339;0.0008558900982884848
"2.2. Formação Campestre (Campo)";0.004399275577152835;0.0009059754028850524;0.0026630474833759105;0.5287202365641499;0.021280776207349483;0.0012613377598329285;0.0;0.5592306489947462;0.5592306489947462;0.1064354064958839;0.9454421668672118;0.022460991919485196;0.05455783313278817;0.1064354064958839
"3.2.1. Lavoura Temporária";0.001170230646135611;0.00036580956266297023;0.002101976762418649;0.11369160685003693;0.19021131874278766;0.0;0.0;0.3075409425640418;0.3075409425640418;-0.0924050497196323;0.6184910443368964;0.027543085506972532;0.3815089556631036;0.09240504971963232
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;0.0;0.0;0.004911819091866415;0.0;0.004911819091866415;0.004911819091866415;0.0012613377598329287;1.0;0.1708151932155656;0.0;0.0012613377598329287
"5.1. Rio, Lago e Oceano";0.0;0.0;0.0;0.0024979035344264715;0.0;0.0;0.01916786451676883;0.0216657680511953;0.0216657680511953;-0.0024979035344264715;0.8847073628535101;0.11306110213111205;0.11529263714648985;0.002497903534426471
"total";0.07023362645398756;0.01426769913104568;0.00935570471145848;0.6656660554906301;0.21513589284440948;0.006173156851699344;0.01916786451676883;1.0;1.0;0;0.8155970447800607;0.030856433254824848;0.18440295521993932;0.11650542743109296
"adj population";0.07023362645398758;0.014267699131045683;0.009355704711458478;0.6656660554906306;0.2151358928444095;0.006173156851699343;0.019167864516768825;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.1323498573262962e-15;2.2424524441381347e-15;2.5842738862933443e-15;5.806961009514595e-16;6.530553754829157e-16;3.501898824487859e-15;2.0880114410259396e-15;1.2782737929705948e-14;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.9040157355010627;0.3155955197651638;0.49068248809108356;0.7942724917443119;0.8841449756612777;0.7956737873126117;1.0;0.8155970447800607;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.06565860851372422;0.07185433415753414;0.09837612005669005;0.017015731132301804;0.04217324180822659;0.12545534607718328;0.13006062151656708;0.03022422869087165;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9343413914862758;0.9281456658424658;0.90162387994331;0.9829842688676982;0.9578267581917734;0.8745446539228168;0.869939378483433;0.18440295521993932;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.013482645956558181;0.0019123880651084214;0.00953004849158912;0.061020824861192535;0.049849148203243654;0.0;0.0;0.06789752778884596;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1990 "
" ";"1.1.1. Formação Florestal";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.06314885075987152;0.007275346073467762;0.0;0.015536947943279563;0.002242643270558569;0.0;0.0;0.0882037880471774;0.0882037880471774;-0.01796853198228701;0.7159426160483628;0.05015235212900857;0.28405738395163715;0.017968531982286998
"1.2. Floresta Plantada";0.0009587153906477514;0.00670125570454571;0.0;0.0;0.0;0.0;0.0;0.007659971095193461;0.007659971095193461;0.007708837498512655;0.8748408605289212;0.20534675895574112;0.12515913947107882;0.0077088374985126535
"2.1. Área Úmida Natural não Florestal";0.00021619129123926818;0.0;0.004602785487189772;0.004871351420366358;0.0;0.0;0.0;0.009690328198795398;0.009690328198795398;-0.00030995372263236624;0.4749875744932914;0.09181642000108724;0.5250124255067086;0.00030995372263236537
"2.2. Formação Campestre (Campo)";0.0047381822324606415;0.0;0.002304535074603542;0.5376509324996114;0.022913062094510002;0.00148085503310217;0.0;0.5690875669342877;0.5690875669342877;0.09902680648351243;0.9447595831270265;0.021785620997636094;0.05524041687297354;0.09902680648351248
"3.2.1. Lavoura Temporária";0.0011733163906712271;0.001392206815692643;0.0024730539143697186;0.10784784647871273;0.1856165495590217;0.0;0.0;0.298502973158468;0.298502973158468;-0.08740422809843182;0.6218247932173272;0.027716880796663436;0.3781752067826728;0.08740422809843185
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;0.0;0.0;0.004924770913776662;0.0;0.004924770913776662;0.004924770913776662;0.0014808550331021702;1.0;0.17088889808032837;0.0;0.00148085503310217
