"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para BRASIL  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.5323988335113804;0.012785804477396646;0.001237041863810788;3.079739481433697e-05;0.0011475021776452651;0.0037306443785128794;0.010613757232129572;0.00033344698839045395;0.0;4.2332522331496056e-05;0.0005355218191211291;0.00020102761079502488;0.563056709976328;0.563056709976328;-0.009696354797712782;0.9455509970456851;0.003104303898743377;0.054449002954314873;0.009696354797712692
"1.1.2. Formação Savânica";0.013487850812849955;0.11053922766639877;0.00040601307526571954;0.0;0.008541751325584343;5.621426382397038e-05;0.016068691690324967;0.000170894130800413;0.0;8.082223775850023e-05;0.00022604471038178617;0.00020452898627467214;0.14978203889946307;0.14978203889946307;-0.0016612989449052637;0.7380005538621042;0.0067603245262987935;0.26199944613789583;0.0016612989449052151
"1.2. Floresta Plantada";0.00031100523321208755;3.681299490414537e-05;0.002338893243656128;0.0;1.331941161081926e-05;0.0;0.00013020323228782725;0.0;0.0;0.0;0.0;0.0;0.0028302341156710075;0.0028302341156710075;0.001673700704440863;0.8263956789672185;0.025505741952980436;0.17360432103278145;0.0016737007044408626
"2.1. Área Úmida Natural não Florestal";0.00012293797826908238;0.0001394570200185804;0.0;0.0035253057069279973;0.0002021807655044113;0.00013522411217611272;6.140206714908552e-05;7.0708952760633265e-06;0.0;6.268190156190803e-06;8.304390161770163e-06;0.0;0.004208151125639293;0.004208151125639293;0.00014680704126730348;0.8377326768159827;0.036216992431074464;0.16226732318401726;0.0001468070412673052
"2.2. Formação Campestre (Campo)";0.0012086109696052305;0.014251070443510403;7.023950153503945e-05;0.00046259301093025336;0.042620077038794536;2.5284606143100976e-06;0.006614597308046594;0.0006210676601066747;0.0;4.120971092344438e-05;0.0003758150621890625;1.603343860304549e-05;0.06628384260485859;0.06628384260485859;-0.005640839845581207;0.6429934560805106;0.009531276389852909;0.3570065439194894;0.005640839845581232
"2.5. Outra Formação não Florestal";9.78400726602277e-06;0.0;0.0;0.0;1.1290461912569343e-05;0.00011554258631288175;5.8015001694126995e-05;0.0;0.0;0.0;0.0;0.0;0.00019463205718560085;0.00019463205718560085;0.004812743562845175;0.59364622654479;0.04690287796522771;0.40635377345520995;0.004812743562845177
"3.1. Pastagem";0.0034568461403787602;0.00638627000604137;0.00022192901106128413;0.0;0.0032831818771276453;0.0003919031202052477;0.12652644310149203;0.0028820777971603705;0.0;0.0004316660803617673;1.5900213181734564e-05;0.0007337088110827768;0.144329926158093;0.144329926158093;0.020676996587220938;0.8766473209644708;0.008267086577962412;0.12335267903552916;0.02067699658722097
"3.2.1. Lavoura Temporária";6.73420953436317e-05;0.00027061330931665595;6.016677597810001e-05;4.6152318434777924e-05;0.0029441454471887986;0.0;0.004807626284042024;0.018530432428284418;0.0;2.5538613753279775e-05;0.0;0.00012295882033464437;0.026874976092676327;0.026874976092676327;-0.004317032698059545;0.6895050758141552;0.013565787455781962;0.3104949241858448;0.0043170326980595496
"3.3 Mosaico de Agricultura ou Pastagem";0.002141289020718153;0.0036931309065890068;0.00016965134880481106;0.0;0.0018089742821546402;0.0003080960158215436;0.0;0.0;0.01819269137211188;0.00046362595202154635;0.00010033278395722279;0.0;0.026877791682178805;0.026877791682178805;-0.008685100310066925;0.6768670427702752;0.012351580503887825;0.3231329572297248;0.008685100310066925
"4.1. Infraestrutura Urbana";1.3807962856426295e-05;0.0;0.0;0.0;0.0;9.303707534383679e-06;6.244947352563492e-05;5.056921228620195e-06;0.0;0.002189877703800818;0.0;0.0;0.002280495768945883;0.002280495768945883;0.00100084524216116;0.9602638749086776;0.02598097773479856;0.039736125091322405;0.0010008452421611603
"5.1. Rio, Lago e Oceano";0.00014204744673541734;1.0276574403454949e-05;0.0;0.00029010973579923213;7.05799717543337e-05;0.0002579189750294488;1.270504574977577e-05;7.89657336976684e-06;0.0;0.0;0.012416926311454492;0.0;0.013208460634295921;0.013208460634295921;0.0004703846561512758;0.9400736887698933;0.021564024539148244;0.05992631123010672;0.00047038465615127645
"3.2.2. Lavoura Perene";0.0;8.076555978818274e-06;0.0;0.0;0.0;0.0;5.1032308872337905e-05;0.0;0.0;0.0;0.0;1.3632019818482371e-05;7.274088466963854e-05;7.274088466963854e-05;0.0012191488022390074;0.1874051969589568;0.02783624650157038;0.8125948030410433;0.0012191488022390074
