"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Caatinga  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"prod stdErr";0.02042338662316849;0.009692280339887949;0.009600456812618003;0.016717488778841126;0.0367758280769451;0.03453021840120055;0.046090221621054056;0.046386401491718104;0.004679749103327853;0.013396630060825919;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9795766133768316;0.990307719660112;0.990399543187382;0.9832825112211588;0.9632241719230549;0.9654697815987995;0.953909778378946;0.9536135985082819;0.9953202508966722;0.2380625773150684;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.026066327976918807;0.16092136839196125;0.060260616174395536;0.04357918193825472;0.0010679628285032699;0.0;0.0004007263679714733;0.0003883494687818463;0.0009056311588070281;0.146795082152797;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1988 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.006822654079963913;0.037081088928741776;0.0004966089872535173;0.004097895614575368;0.0;0.0;0.00015091834192884626;0.000613474162441285;0.00040284222265803404;0.04966548233756274;0.04966548233756274;-0.030185656521078026;0.13737214980803356;0.007170854999559671;0.8626278501919664;0.030185656521078012
"1.1.2. Formação Savânica";0.012060419772752053;0.5230047704529796;0.010691830773573142;0.06140887952625386;0.00018769557496441913;0.0;0.00020703583724139692;0.0014101246916095286;0.0018829832369971846;0.6108537398663711;0.6108537398663711;0.019945990354520632;0.8561865735116739;0.010316784580267682;0.14381342648832607;0.019945990354520493
"2.2. Formação Campestre (Campo)";0.0;0.022710027743345212;0.005383835166990345;0.004908170781340873;9.606704609489622e-05;0.0;9.679311347523758e-05;0.0;0.0;0.03319489385124657;0.03319489385124657;0.0037674636428034446;0.16218865440921318;0.010195711053852627;0.8378113455907868;0.003767463642803441
"3.1. Pastagem";0.00025746155469363695;0.015860522228183137;0.004564776357505188;0.15697305479610674;0.0006483147309491507;0.0;0.0001229050399688017;0.00013555612160794794;0.000698844751019105;0.1792614355800337;0.1792614355800337;0.05731267230390573;0.8756655009940714;0.02253687972451555;0.12433449900592863;0.057312672303905715
"3.2.1. Lavoura Temporária";0.0;0.00014978844563945747;0.0;0.008800248708176191;0.00010770697364909183;0.0;0.0;0.0;0.0006096529935085094;0.00966739712097325;0.00966739712097325;-0.008627612795315693;0.011141258841578301;0.0019490763023000054;0.9888587411584217;0.008627612795315692
"3.3 Mosaico de Agricultura ou Pastagem";0.00027862597188163616;0.03194488375594215;0.015583058816147287;0.0;0.0;0.05652513043088006;4.5068051360370305e-05;0.0007276281937287535;0.0;0.10510439521994025;0.10510439521994025;-0.04857926478906024;0.5377998732840449;0.017957193998006774;0.4622001267159551;0.04857926478906019
"4.1. Infraestrutura Urbana";6.066443719348634e-05;0.0;0.0;0.00013951545276108705;0.0;0.0;0.0014520170342761142;0.0;0.0;0.0016521969242306875;0.0016521969242306875;0.0004225404940200794;0.8788401751517707;0.051802204396688825;0.12115982484822929;0.0004225404940200795
"5.1. Rio, Lago e Oceano";0.0;4.8648666060431783e-05;0.0002422473925805295;0.0;0.0;0.0;0.0;0.0098403070651302;0.0;0.01013120312377116;0.01013120312377116;0.0025958871107465533;0.9712871161413767;0.060488412508950665;0.02871288385862325;0.002595887110746554
"3.2.2. Lavoura Perene";0.0;0.0;0.0;0.000246343004725317;0.0;0.0;0.0;0.0;0.0002229129711444558;0.0004692559758697728;0.0004692559758697728;0.003347980199457516;0.47503491187572705;0.09705931809501472;0.5249650881242729;0.003347980199457516
"total";0.019479825816484726;0.6307997302208916;0.03696235749405001;0.23657410788393943;0.001039784325657558;0.05652513043088006;0.002074737418250767;0.012727090234517714;0.003817236175327289;1.0000000000000002;1.0000000000000002;0;0.7603323889711207;0.013686805386866114;0.23966761102887935;0.08739253410545385
