"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Pantanal  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"5. Corpo D'água";0.0;0.01196044035487348;0.0;0.026093878616756105;0.038054318971629586;0.038054318971629586;-0.01196044035487348;0.6857008434761299;0.06941743631639213;0.3142991565238701;0.01196044035487348
"total";0.35902644428975505;0.4957410865829211;0.11913859051056898;0.026093878616756105;0.9999999999999999;0.9999999999999999;0;0.8505999533101495;0.037035366456016364;0.14940004668985052;0.049951656002077204
"adj population";0.3590264442897547;0.49574108658292015;0.11913859051056896;0.0260938786167561;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.0299996560044846e-15;9.770894892956732e-16;1.563661589496439e-15;3.025439074677615e-15;6.596189809474211e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8423308415512809;0.9099449061990397;0.5958602573834908;1.0;0.8505999533101498;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.03803231285747231;0.031984337998913585;0.04301177075812408;0.10679420570673463;0.037421593310721674;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9619676871425277;0.9680156620010865;0.9569882292418759;0.8932057942932654;0.14940004668985019;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06640487392834449;0.08928802010643;0.04320388734077418;0.0;0.09944839068777434;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 2000 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.29772935363109904;0.018558943715877782;0.01185522527201037;0.0;0.3281435226189872;0.3281435226189872;0.0235539831946236;0.9073144313648315;0.042238870793094185;0.09268556863516852;0.02355398319462354
"2. Formação Natural não Florestal";0.047638257670530565;0.44760626408501913;0.03600301073169171;0.0;0.5312475324872414;0.5312475324872414;-0.0381088665056982;0.8425568811385845;0.028736351787262387;0.1574431188614155;0.03810886650569817
"3. Agropecuária";0.006329894511981148;0.01456005425083562;0.08119498568044972;0.0;0.1020849344432665;0.1020849344432665;0.026968287240885312;0.7953669767557492;0.05758376831104574;0.2046330232442508;0.02696828724088529
"5. Corpo D'água";0.0;0.012413403929810718;0.0;0.02611060652069554;0.038524010450506255;0.038524010450506255;-0.012413403929810718;0.6777748789742737;0.06865152312519983;0.3222251210257263;0.012413403929810714
"total";0.35169750581361076;0.49313866598154327;0.1290532216841518;0.02611060652069554;1.0;1.0;0;0.8526412099172633;0.03764969504051038;0.14735879008273667;0.05052227043550886
"adj population";0.3516975058136104;0.4931386659815423;0.12905322168415181;0.026110606520695533;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";1.033289034716475e-15;9.770690632824087e-16;1.5296449226229876e-15;3.0231045345974436e-15;6.563107555219315e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8465495168705766;0.9076681569758954;0.6291589207991136;1.0;0.8526412099172633;NaN;NaN;NaN;NaN;NaN;NaN
